Text,Codes,Effect
ALWAYS REMEMBER TO BE PATIENT THESE THINGS TAKE TIME YOUNG ONE ENJOY YOUR YOUTH LET IT ROAR LIKE THE BLUE TIGER OF KONOHA,IxUXKBAZRCMdIjHDtAoSw685w7/DkTIDCCXDvQHDsQnDmwbDuwDDrsO9w5vDvcO8NMO1w70FBsOZASjDsRLDusObNMO0AAECM8OHBcOsw73DvgAFw7sIJcObCwUGw7Unw4cAw7nDswDDrMO/w7XDuxEADQoBMsOXBS8DBQfDjizDuQvDlQQ0w4wKCiEQw5TDtwQrw7HDlw0Dw7MAw7MGNcO6w5EGw7rDvwQ=,-75%
BEAVERCOIN I AM SWIMMING IN THE OCEAN GIVING MY DEVOTION TO YOU LIKE NOBODY CAN YOU HELP ME SOLVE THIS PUZZLE LIKE I WILL HELP YOU BE THE ONLY CURRENCY THAT FLOATS IN WATER THATS HOW BAD I WANT YOU TO SUCCEED,IhwtEyQaISYZIVbDuSUACSXDv8OsBsO8AcOXw7vDmSEEw5IzAwEILcO6CwLDn8O7LsOZC8Oyw7zDkggjw7jDqC7DnALDswfDtQXDuMOSLQXDkSTDrAfDujTDvQYDw5s0AcORFwARw4csBgrDtwDDtQDDrS/DvBTDlMOzIQHDmznDvAbDlMOyACzDvMOYBMOyAAPDusOyw7zDucObNMO8AAjDmzAMOgMDw7nDlCwBBsO5w5Apw4cIw7QsCsObKMOxBAsACgEJw4ciAsOLAsO2AMOSDMO1LAXDmAIBMgzDucO/AgXDjTTDv8OzNMOJBcO4CsOvNMO/w5gIw7rDjTfDuQXDrjLDnhMEIQszw4kHAQMAw6nDssOvAMO1w5E3w67DuRHDnRQKEQ==,-75%
BEAVERCOIN IS MY SAFE WORD AND I DONT KNOW ANY OTHER I SPEAK IT WHENEVER THINGS WANT TO GO SIDEWAYS YOU SHOULD TRY IT WITH ME BEAVERCOIN BEAVERCOIN I SAY,IhwtEyQaISYZIVbDucOyIQnDrDLDsA4DCQDDsgTDjgk5w58Fw70mw7wAEwAEw7AAw7YAw7XDiSnDn8O2w7YuBcOMAwnDvTfDlyHDuwnDmw4JKMO8w74Aw7LDmA4CAMOrBsOOKQDDmA7DusO+w7slw78EBMOMNMO0w7ouAAQABMO4Cg/DiRPDtsONJ8O2w5HDvinDscO9CMOsDQ8ABcO9w7wACsO0L8O+A8Oww5g0BRQABw/DnwEEAgXDkQTDtwAAAAAAAAAAAAAAAMO5JcOuFcOs,-75%
BEAVERCOIN WILL DEFEAT THE ALIENS IMAGINE AN ALIEN INVASION AND HUNDREDS OF BEAVERS CAME TO THE RESCUE THOSE BEAVERS WOULD HAVE COME FROM THE CURRENCY LOGO WITH GIANT LASER GUNS AND RESCUE THE EARTH HAVE FAITH IN BEAVERCOIN,IhwtEyQaISYZIVbDq8O8w7UKJQ7DvgkEDcOMN8O1BAcAA8O5w70Aw7MBAAvDuwTDmcO4w74EJQ0FAAgBw7gCw7suw7zDksOrDcONw7jDvcO7JQ3DkgUuDsOsBQXDvQnDnMOuLsO1w5ooEwkDw7wAw7IAAAwFw5PDvSXDrQclw74Lw5sjw68Iw7LDncO/CgAAAMO2w40NJRHDvhTDr8ObAsO1L8O8w7bDi8O2ASEOBMO8DgAUAAgHJMOaw7bDsgklw4zDuwotAsOLw7QACsO/w53DuyjDucORw7wGMsO7w7zDusO7OcOZAw7DucO7AAsIAQPDjicCw6wAAQALw7MPJQDDm8O0EsO5DgDDrQbDvwANBAHDrw0lw5gTw7IAAMO/AAkAAADDv8OzNgPDmwXDqwQCBcORAAA=,-75%
EVERYTHING TO THE MOON MAYBE SOMEDAY WE CAN LIVE ON MARS WHO KNOWS THAT WOULD BE COOL THOUGH I HOPE TO LIVE TO SEE THE DAY WHEN FLIGHTS TO MARS ARE JUST UNDER TWO HUNDRED DOLLARS,HwspFxAYHCwUKFbDsQclw74RDyjDvMO/w7jDkjQCw5/DuwYAAMO6AAIJw5wMw6g5w6sAABAOw78lw7jDuAPDmzfDtsOSI8O0DcOOw7kpw7/DvcORLwPDksO+w6rDvzPDjA8Hw7sAw7TDv8O6Cw8AEgMhEcORCAM1w7jDvMORw63DvsOYIwYvBMORBAMvAcO4KMOUAMOKAy/DvMO2AAEKw5ssw7UOAAAQDsOHM8Ouw73DmwYow7/DlMO7w7oRw4wEKMOxw78Aw7kLw7fDtCgTAcObNAXDi8O6w60yw77DksO9DcOzAMO2w74ENMOYAAAAw7MNw5w0EwDDlMO8FMO8w7E=,-75%
USE BEAVERCOIN FOR HACKMIT SWAG AND GET ONE FREE ITEM OF CHOICE THIS IS THE COOLEST WAY TO LIVE TO BE HONEST EVERYTHING BEAVERCOIN,Dw4pSScnIx8dHTMGCsO3AMO8w7bDrzbDvREABMO8BcOMJsO8w7vDnwEhAsO9CSkNw5vDvzfDssO5w5shCMOyw5sCJQvDjAoBJcORADICw73DkQARAC3DjAfDvcONI8O/w7wpw6/DvcObNAXDugTDlAQAw4w0w7EEw4cjw7sALMO5CsO+w5s3w60KABIKAATDuggAw40AL8Obw6wAw47Dr8O7BsO8BQ0AAxEEw7wUAgXDugXDuQ==,-75%
WE ON A SNOWBALL ROLL LETS GET BEAVERCOIN UP AND ROLLING IN THERE WE JUST NEED SUPPORT SHOUTOUT TO ALL THE BEAVERS OUT THERE I KNOW YOU ALL ARE REAL ENGINEERS,DRxOGhtMI1UPIScAA8OfAwIAw6/DkQcCLwvDvcOtw7ksw5kNw7ssCsObC8OvDwHDncO4w7wGAMOtw7UhFcO3DiPDvcO6AsOUDALDmSEFw7YAw74HB8O6BC7DsMObKQTDiwHDtCUEAMObEyXDjcO1BQMFw47DuiXDssO8w5HDvgEBw7vDuzIAw5EzBwMJNMO7DQ8AEgrDn8OrB8O6w400w7nDsMOMIsOxw7kRw7MNM8OXLwoGw5HDvSjDrAPDsAAIw5TDvy4OBcObOcO9EMOfw7UsB8OSw7oJw7fDmw3Ds8Ou,-75%
BEAVERCOIN IS MORE VOLATILE THAN MY UNCLE AFTER A SHOT OF WHISKY THE FORT CAN ONLY BE DEFEATED BY FINDING THE ALGORITHM IN THE RIGHTDIV INSIDE THE PROFILE ELEMENT,IhwtEyQaISYZIVbDucOyIQnDtgDDvi/Ds8O/w5QIw7/DlwEKMsOxw5gVASzDtMO7KcO3w7fDnQgDIQ3DmsO5FMOONQ0jw7nDvcORw60mBcO/MsOJw7nDlwDDvcO2NMOMBwEAEcO5w7fDvysWw58GKMO2w5LDusO2MhLDmyPDvQnDmgoNw7gUw5wiA8OHJMO/w73Dt8O9C8O3w70Aw64Rw5smCALDvcO6w7zDvsOMDMO7JcOXw7Msw7MHDSkCw78Gw5jDtQrDl8O+KMO8w5LDvwADAzTDsAERAMO5w7wEA8O7w7nDmzQDw7nDmwMNAcOy,-75%
NO HIGHS NO LOWS THIS TUESDAY JUST BEAVERCOIN I WOKE UP FEELING BEAVERCOIN BEAVERCOIN IS IN MY PRAYERS DAY AND NIGHT I HOPE IT MAKES ME A MILLIONAR,FhJOISAlHCJCIScuA8ORw7HDtifDtAvDl8O7L8OMw7cKBA/Dn8O7KMO/w77DjQA1Aw4Dw6sUw44HBgoGAMO5JcOqB8O6DSPDusO5LsOaBMObCwbDvcO+ABMLw5/DsADDswnDugXDuQAAAAAAAAAAAAAAAMO5w7IhDcO3MsO2w7Ypw77DjgjDusObw7fDuwAJGMOHMBHDsxUlBArDmcO8w605w5chBsO1w5AJKcO+w7Q0w5MIw5UDw7www7jDmykTAADDuMO/w7kKw5HDvwTDjg==,-75%
ALWAYS REMEMBER TO BE PATIENT THESE THINGS TAKE TIME YOUNG ONE ENJOY YOUR YOUTH LET IT ROAR LIKE THE BLUE TIGER OF KONOHA,AAAAAABABBBABBAAAAAABBAAABAABA BAAABAABAAABBAAAABAAABBAAAAAABAABAABAAAB BAABBABBBA AAAABAABAA ABBBBAAAAABAABBABAAAAABAAABBABBAABB BAABBAABBBAABAABAABAAABAA BAABBAABBBABAAAABBABAABBABAABA BAABBAAAAAABABAAABAA BAABBABAAAABBAAAABAA BBAAAABBBABABAAABBABAABBA ABBBAABBABAABAA AABAAABBABABAABABBBABBAAA BBAAAABBBABABAABAAAB BBAAAABBBABABAABAABBAABBB ABABBAABAABAABB ABAAABAABB BAAABABBBAAAAAABAAAB ABABBABAAAABABAAABAA BAABBAABBBAABAA AAAABABABBBABAAAABAA BAABBABAAAAABBAAABAABAAAB ABBBAAABAB ABABAABBBAABBABABBBAAABBBAAAAA,-50%
